0,1,2,3,4,5,6
62.17,195.96,32.41,85.34,18.51,0.81,11.67
113.03,249.74,32.34,75.96,19.17,0.93,12.78
165.4,300.26,32.97,74.26,19.01,1.03,6.68
232.83,364.24,33.67,78.62,16.03,1.08,6.45
250.68,375.46,30.74,79.55,19.32,1.1,10.74
216.68,258.9,28.3,74.45,19.76,1.08,25.29
207.81,254.68,25.38,68.0,19.66,1.04,25.63
281.56,303.18,26.52,65.08,19.08,1.01,19.13
288.44,319.52,27.56,67.18,18.88,1.0,7.22
194.88,319.95,27.09,76.28,19.54,1.01,8.12
98.76,240.43,26.26,69.19,19.93,1.05,17.0
137.91,283.27,24.77,61.86,20.0,1.08,47.3
149.43,279.62,27.58,52.31,19.08,1.06,87.05
120.14,191.18,30.54,52.53,18.81,1.0,123.0
66.82,142.15,28.0,63.32,19.15,0.95,137.86
30.98,107.91,25.69,59.5,19.64,0.9,137.39
15.64,78.47,23.39,59.67,20.18,0.87,137.44
9.0,72.72,22.67,48.96,19.9,0.82,134.74
10.63,98.68,22.39,52.08,19.97,0.78,130.9
38.64,85.17,19.14,53.9,20.83,0.76,127.3
34.81,80.12,20.43,52.78,21.96,0.76,121.08
29.31,76.19,21.54,54.68,22.4,0.75,106.17
31.52,83.52,24.84,55.63,21.77,0.78,56.3
38.73,139.64,28.98,58.46,21.07,0.89,21.48
67.87,312.68,33.21,66.54,21.26,1.21,0.96
95.44,567.84,32.34,63.1,21.89,1.56,0.69
121.69,457.98,30.04,62.97,22.23,1.9,0.26
119.54,412.15,27.16,58.69,18.16,2.06,0.11
138.9,316.88,26.16,60.94,20.29,2.08,0.12
152.03,316.77,26.04,62.26,20.13,1.96,0.53
164.25,300.13,24.56,58.95,20.56,1.82,0.64
186.02,289.9,24.85,57.23,20.64,1.67,1.54
213.3,290.65,25.69,56.75,20.18,1.54,3.76
251.11,314.77,26.96,57.52,19.33,1.41,6.85
249.29,301.76,26.88,59.78,18.95,1.32,15.04
216.23,281.18,28.21,58.97,19.7,1.28,30.21
211.02,303.97,31.01,52.53,19.98,1.24,85.18
181.13,247.22,33.9,49.46,19.63,1.19,114.88
140.17,223.19,35.89,48.59,19.36,1.12,134.59
105.06,169.56,32.83,50.62,19.49,1.04,141.16
65.6,125.68,28.37,52.1,20.25,0.99,135.65
28.56,96.79,26.25,51.46,21.04,0.95,131.77
18.45,108.04,23.97,51.0,21.57,0.9,130.0
35.98,91.98,23.93,42.4,21.22,0.84,127.09
37.09,87.12,24.63,47.31,21.16,0.78,113.39
44.98,114.98,24.0,54.65,21.5,0.77,92.04
48.2,141.94,25.96,53.65,21.73,0.8,51.38
57.97,196.58,30.6,54.44,21.52,0.92,2.19
61.76,328.59,35.88,52.21,20.72,1.23,0.84
73.34,493.84,36.17,54.2,20.08,1.48,0.46
88.66,438.02,34.2,67.74,20.5,1.66,0.14
92.12,373.07,30.1,60.16,17.84,1.76,1.06
95.29,375.22,26.98,59.18,20.76,1.81,0.21
98.57,308.37,24.08,48.18,20.11,1.84,0.06
96.41,337.58,26.57,49.27,19.7,1.76,0.14
97.56,357.49,27.79,61.44,19.84,1.64,0.04
99.87,327.58,25.56,62.57,20.37,1.56,0.02
90.41,269.23,25.29,59.03,20.8,1.46,0.14
97.04,342.9,25.91,50.56,20.17,1.45,1.18
127.89,424.8,29.95,51.26,20.02,1.45,20.73
135.03,367.5,34.2,53.88,19.97,1.4,74.22
110.31,327.55,36.82,51.66,20.55,1.32,115.38
80.98,213.82,38.13,50.65,21.06,1.25,154.42
66.88,145.27,37.77,45.6,21.06,1.18,168.3
56.93,125.84,35.96,40.12,20.69,1.09,162.03
43.48,109.3,28.22,42.05,20.96,1.02,146.32
50.19,78.14,24.02,45.22,22.08,0.98,150.97
45.0,70.55,23.77,44.01,22.95,0.94,137.91
53.68,80.56,26.0,43.87,23.16,0.89,132.58
52.87,105.12,27.6,38.58,22.4,0.85,102.06
52.89,182.56,32.68,50.52,21.99,0.86,66.94
70.6,309.41,33.1,55.68,22.36,0.93,22.96
73.95,270.5,36.28,53.34,22.45,1.04,22.62
78.16,242.7,35.72,53.74,22.08,1.09,29.48
79.39,237.74,35.46,56.46,21.33,1.13,15.46
85.02,316.68,36.18,57.35,17.72,1.2,0.44
92.66,362.34,31.95,63.97,20.58,1.26,4.51
95.39,197.8,31.23,58.08,21.1,1.26,24.36
93.63,145.77,31.46,57.6,21.3,1.23,24.48
97.73,200.4,30.84,55.82,20.62,1.16,39.35
87.3,214.43,29.62,59.36,19.81,1.1,17.45
87.91,250.29,29.6,63.36,19.93,1.09,7.61
90.46,238.86,28.75,58.62,20.2,1.11,13.89
107.44,172.09,30.75,54.45,20.42,1.15,25.63
109.46,174.33,35.02,49.19,19.94,1.16,79.5
102.33,228.54,37.99,49.2,19.51,1.12,114.61
102.22,210.28,33.56,51.02,19.7,1.08,149.82
106.43,178.66,30.2,48.78,20.68,1.06,172.54
93.17,150.22,27.93,46.88,21.41,1.04,167.57
86.68,172.26,30.37,36.14,13.47,0.8,163.7
49.63,137.18,31.76,72.05,5.75,0.7,106.76
103.75,289.41,29.84,59.02,8.7,0.78,77.13
102.14,310.18,32.67,70.26,10.63,0.88,53.46
98.18,342.51,31.92,92.52,12.43,0.97,31.02
103.3,370.34,27.96,81.02,14.43,1.04,68.76
106.36,368.01,26.64,69.78,15.91,1.02,55.32
86.27,130.11,28.14,61.99,13.19,0.96,29.27
80.81,152.89,31.64,86.58,15.19,0.9,32.81
70.84,142.68,32.29,101.96,15.09,0.81,38.93
61.11,101.75,28.72,103.0,16.45,0.78,37.18
55.6,67.89,26.16,91.64,17.23,0.74,36.76
41.14,77.87,26.93,80.38,17.32,0.7,27.88
43.65,93.78,28.55,86.61,16.54,0.64,57.19
40.57,78.57,29.54,85.77,15.64,0.6,51.32
43.05,79.87,27.8,94.14,16.27,0.61,63.47
46.67,80.65,26.12,77.52,17.0,0.63,78.26
55.48,140.54,25.9,69.26,17.4,0.66,109.93
72.21,162.81,26.08,59.56,16.67,0.66,132.05
71.48,131.62,25.49,65.16,15.97,0.67,150.61
67.31,120.07,23.27,78.16,16.85,0.7,152.64
66.28,90.71,23.63,63.88,18.33,0.74,153.34
70.44,91.67,21.47,59.71,19.06,0.74,131.8
63.52,89.84,20.38,45.19,18.16,0.7,115.34
53.85,75.8,23.62,55.3,17.62,0.67,110.14
50.64,71.86,21.98,79.5,17.7,0.66,80.81
49.35,105.16,24.95,75.27,18.23,0.72,35.02
48.25,176.78,29.32,72.19,18.77,0.95,1.32
74.7,561.2,33.64,64.05,18.25,1.39,1.15
98.75,485.2,34.38,70.84,17.25,1.7,0.8
104.2,293.25,35.57,84.44,17.05,1.81,1.95
113.94,248.84,35.07,71.09,15.83,1.76,20.96
106.16,216.69,34.16,68.9,18.65,1.68,31.82
113.41,219.03,32.93,59.04,18.5,1.57,23.9
129.42,259.96,34.54,65.03,17.33,1.46,12.98
137.26,238.52,35.14,73.51,16.95,1.42,3.92
131.08,238.49,32.66,73.81,17.86,1.4,0.22
133.54,248.46,29.48,68.96,18.62,1.43,1.86
149.82,333.33,29.43,58.81,18.65,1.44,8.66
160.75,259.32,34.75,61.59,17.65,1.41,45.01
147.9,204.38,39.56,66.11,17.18,1.36,100.71
129.91,187.67,35.91,64.08,18.31,1.31,140.95
112.84,140.12,31.04,54.25,19.19,1.23,143.82
88.89,105.38,25.48,47.91,19.78,1.14,135.33
67.99,70.04,24.48,52.33,18.31,0.89,126.64
65.94,71.76,19.19,63.8,18.96,0.84,117.82
53.07,60.84,21.04,51.22,20.31,0.83,116.99
44.38,61.03,20.1,46.62,21.04,0.79,121.5
46.8,55.39,20.85,43.43,20.06,0.73,109.31
46.29,67.87,23.44,54.52,18.78,0.68,91.12
41.96,80.2,24.53,80.33,18.9,0.67,78.32
49.45,95.96,23.44,71.18,19.44,0.69,70.14
50.88,98.62,22.45,66.26,19.7,0.7,60.66
51.66,103.05,23.85,50.92,18.77,0.68,53.01
47.98,101.59,23.98,58.1,14.57,0.65,41.0
50.0,86.3,23.82,72.21,16.92,0.65,37.26
48.83,70.56,23.25,65.43,17.79,0.66,46.17
48.24,80.52,22.46,61.56,18.39,0.66,29.89
49.28,92.77,21.8,50.36,17.66,0.64,36.25
47.66,82.75,22.8,58.87,16.64,0.61,22.14
58.48,104.85,22.94,69.42,16.55,0.64,6.51
67.3,127.24,22.39,63.19,17.45,0.68,28.0
72.38,131.37,22.92,57.67,18.08,0.7,51.8
81.59,145.45,22.39,45.57,18.06,0.72,81.31
81.16,145.7,25.14,47.89,17.41,0.71,109.71
76.12,131.24,23.12,58.2,17.28,0.68,116.92
52.78,104.99,20.63,57.34,18.15,0.68,120.73
46.98,79.38,20.24,50.42,19.22,0.69,123.7
38.82,70.51,17.47,40.67,19.6,0.68,122.76
40.22,72.35,19.83,39.39,18.59,0.64,127.74
31.04,70.54,20.92,50.37,18.12,0.61,129.54
28.35,70.13,19.54,63.54,18.9,0.61,116.06
26.44,76.54,20.47,57.57,19.53,0.62,81.08
32.69,109.53,23.43,52.98,19.4,0.72,19.05
40.48,299.08,29.14,54.37,18.08,0.96,4.5
55.42,298.54,32.23,59.25,17.4,1.33,1.93
74.04,357.25,29.33,71.35,18.06,1.5,2.94
86.96,285.29,27.18,60.62,18.78,1.53,3.07
87.86,227.6,25.26,54.67,15.86,1.5,8.46
83.76,170.48,26.71,49.33,17.18,1.42,9.9
79.18,138.75,27.98,55.8,16.34,1.34,25.46
82.16,134.14,27.26,69.16,16.59,1.23,49.81
67.74,95.24,25.24,59.88,17.26,1.14,36.28
59.85,97.64,23.24,55.99,17.79,1.09,37.03
62.35,109.66,23.64,44.45,17.04,1.01,31.28
64.42,152.22,23.89,51.01,16.08,0.98,28.58
71.97,185.45,23.34,65.22,16.42,0.99,42.58
80.46,207.92,22.58,58.81,17.89,1.02,61.89
90.91,199.72,22.6,55.54,18.87,1.03,89.86
97.7,181.32,22.9,41.72,18.05,0.96,110.92
89.98,140.81,22.28,47.42,16.73,0.89,119.78
84.56,125.14,20.08,60.04,16.45,0.84,132.44
76.25,124.18,19.92,51.47,17.84,0.84,133.65
74.32,130.6,21.42,49.82,18.72,0.82,112.21
66.94,138.51,16.89,42.48,17.67,0.73,68.38
47.92,84.26,18.05,45.94,16.11,0.62,57.18
28.84,61.65,20.73,59.52,16.18,0.58,52.45
19.13,50.62,20.94,67.06,17.42,0.59,41.97
20.94,53.71,20.06,62.04,18.35,0.6,32.74
21.09,63.32,20.86,47.48,18.13,0.62,8.34
27.79,100.44,23.02,47.57,17.16,0.71,1.74
29.76,133.76,23.57,53.16,16.66,0.81,0.79
25.86,110.9,20.52,73.21,14.47,0.85,0.01
28.88,78.3,17.51,57.67,17.8,0.86,0.54
29.83,69.37,18.62,49.9,16.62,0.8,2.58
25.64,64.9,19.86,55.39,15.81,0.74,5.27
24.42,62.26,19.96,72.67,16.13,0.71,8.58
32.74,62.01,19.53,61.88,16.86,0.72,6.59
49.26,89.22,18.47,57.74,17.53,0.75,18.11
66.81,89.98,21.88,47.74,16.77,0.76,42.17
60.64,65.38,24.95,52.47,15.91,0.74,66.77
51.78,62.97,22.78,65.33,16.84,0.73,87.89
47.64,62.74,21.37,52.26,18.11,0.73,100.88
37.79,56.4,19.12,48.2,18.86,0.72,105.12
39.32,53.62,17.43,30.74,17.99,0.68,96.97
30.54,55.24,17.74,36.23,17.69,0.63,86.6
26.07,51.32,17.36,54.94,18.04,0.6,82.91
23.56,47.23,17.38,48.53,19.07,0.63,83.94
20.02,59.86,18.73,47.21,19.6,0.65,82.6
15.23,59.08,18.71,36.07,18.56,0.6,74.6
18.82,66.7,20.9,45.78,17.46,0.56,67.5
23.72,69.42,18.7,64.77,17.2,0.55,60.21
28.42,73.57,18.5,62.24,17.96,0.57,50.63
26.87,80.0,18.82,59.81,18.82,0.58,46.14
45.45,98.63,16.43,47.63,18.37,0.59,43.84
55.96,137.6,17.73,49.89,14.03,0.58,35.09
48.76,135.76,19.35,62.38,16.3,0.57,39.11
38.1,116.42,18.38,68.44,17.45,0.57,51.51
29.82,69.42,17.79,59.86,17.91,0.55,46.89
28.32,47.16,16.34,46.3,17.28,0.5,38.14
25.25,43.76,17.79,44.96,15.96,0.47,34.27
31.48,74.77,16.81,53.86,15.23,0.46,30.0
34.14,98.72,15.16,66.9,16.12,0.49,35.14
43.29,110.52,16.36,55.28,16.78,0.52,49.14
39.02,105.73,17.34,44.4,16.88,0.54,57.28
33.42,83.18,18.15,40.63,16.16,0.51,57.4
32.35,65.4,17.36,48.13,15.53,0.48,56.9
23.4,40.91,15.57,59.04,15.97,0.47,56.62
20.74,31.85,16.13,50.1,16.63,0.47,56.74
16.51,41.37,15.16,46.77,16.68,0.45,57.0
23.72,48.46,14.94,39.58,15.5,0.42,54.14
22.19,45.96,16.18,45.11,14.87,0.4,54.2
19.84,41.72,15.9,64.11,15.23,0.4,55.18
19.22,39.48,16.45,55.5,16.15,0.42,52.04
23.98,47.61,16.94,51.92,16.62,0.44,39.17
28.38,57.3,17.67,42.38,16.0,0.47,37.88
30.41,64.23,17.78,49.08,15.26,0.49,37.45
33.62,72.36,17.25,64.96,15.66,0.5,28.49
40.05,81.38,17.01,57.06,16.59,0.54,30.27
45.7,97.01,16.35,52.88,14.58,0.54,34.19
31.95,60.07,15.07,40.44,16.25,0.5,38.93
27.65,46.96,15.78,47.04,15.18,0.44,36.8
24.9,36.0,15.34,58.22,14.82,0.4,37.92
18.02,34.86,14.89,56.74,15.28,0.39,37.1
15.74,30.42,14.88,52.86,15.93,0.39,27.78
14.71,46.07,14.54,41.06,16.03,0.4,24.86
27.22,52.49,14.84,46.51,15.32,0.38,26.84
